team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
Australia,England,2010,2010/05/16,"""Kensington Oval, Bridgetown""",Barbados,England,field,C Kieswetter,England,0,7
New Zealand,Bangladesh,2009/10,2010/02/03,Seddon Park,Hamilton,Bangladesh,bat,DL Vettori,New Zealand,0,10
New Zealand,Australia,2009/10,2010/02/26,Westpac Stadium,Wellington,New Zealand,bat,MG Johnson,Australia,0,6
Australia,Pakistan,2010,2010/07/05,Edgbaston,Birmingham,Pakistan,bat,Umar Akmal,Pakistan,23,0
Australia,Pakistan,2010,2010/07/06,Edgbaston,Birmingham,Pakistan,bat,Mohammad Amir,Pakistan,11,0
England,Pakistan,2010,2010/09/05,Sophia Gardens,Cardiff,England,field,MH Yardy,England,0,5
England,Pakistan,2010,2010/09/07,Sophia Gardens,Cardiff,Pakistan,bat,TT Bresnan,England,0,6
New Zealand,Pakistan,2009/10,2009/11/12,Dubai International Cricket Stadium,,New Zealand,field,Imran Nazir,Pakistan,49,0
New Zealand,Pakistan,2009/10,2009/11/13,Dubai International Cricket Stadium,,Pakistan,bat,Umar Akmal,Pakistan,7,0
India,Sri Lanka,2009/10,2009/12/09,"""Vidarbha Cricket Association Stadium, Jamtha""",Nagpur,India,field,KC Sangakkara,Sri Lanka,29,0
India,Sri Lanka,2009/10,2009/12/12,"""Punjab Cricket Association Stadium, Mohali""",Chandigarh,Sri Lanka,bat,Yuvraj Singh,India,0,6
West Indies,South Africa,2010,2010/05/19,"""Sir Vivian Richards Stadium, North Sound""",Antigua,West Indies,field,R McLaren,South Africa,13,0
Afghanistan,Ireland,2009/10,2010/02/09,Dubai International Cricket Stadium,,Ireland,field,Mohammad Nabi,Afghanistan,13,0
Canada,Netherlands,2009/10,2010/02/09,Dubai International Cricket Stadium,,Canada,bat,B Zuiderent,Netherlands,0,6
Ireland,Scotland,2009/10,2010/02/11,Dubai International Cricket Stadium,,Ireland,bat,DT Johnston,Ireland,37,0
Afghanistan,Netherlands,2009/10,2010/02/12,Dubai International Cricket Stadium,,Netherlands,field,RN ten Doeschate,Netherlands,0,4
Ireland,Netherlands,2009/10,2010/02/13,Dubai International Cricket Stadium,,Ireland,bat,AR Cusack,Ireland,65,0
Afghanistan,Ireland,2009/10,2010/02/13,Dubai International Cricket Stadium,,Ireland,bat,Mohammad Shahzad,Afghanistan,0,8
England,Pakistan,2009/10,2010/02/19,Dubai International Cricket Stadium,,Pakistan,bat,EJG Morgan,England,0,7
England,Pakistan,2009/10,2010/02/20,Dubai International Cricket Stadium,,Pakistan,field,Abdul Razzaq,Pakistan,0,4
Australia,Sri Lanka,2010/11,2010/10/31,Western Australia Cricket Association Ground,Perth,Australia,bat,S Randiv,Sri Lanka,0,7
Australia,England,2010/11,2011/01/12,Adelaide Oval,,Australia,bat,SR Watson,England,0,1
Australia,England,2010/11,2011/01/14,Melbourne Cricket Ground,,Australia,bat,AJ Finch,Australia,4,0
West Indies,South Africa,2010,2010/05/20,"""Sir Vivian Richards Stadium, North Sound""",Antigua,West Indies,field,J Botha,South Africa,1,0
New Zealand,Sri Lanka,2010,2010/05/22,Central Broward Regional Park Stadium Turf Ground,Lauderhill,New Zealand,bat,SB Styris,New Zealand,28,0
New Zealand,Sri Lanka,2010,2010/05/23,Central Broward Regional Park Stadium Turf Ground,Lauderhill,New Zealand,bat,KMDN Kulasekara,Sri Lanka,0,7
Pakistan,South Africa,2010/11,2010/10/27,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,J Theron,South Africa,0,6
South Africa,India,2010/11,2011/01/09,Moses Mabhida Stadium,Durban,India,bat,RG Sharma,India,21,0
New Zealand,Pakistan,2010/11,2010/12/26,Eden Park,Auckland,New Zealand,field,TG Southee,New Zealand,0,5
New Zealand,Pakistan,2010/11,2010/12/28,Seddon Park,Hamilton,Pakistan,field,NL McCullum,New Zealand,39,0
