team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
Netherlands,Scotland,2019,2019/09/16,"""The Village, Malahide""",Dublin,Netherlands,field,HG Munsey,Scotland,58,0
Ireland,Scotland,2019,2019/09/17,"""The Village, Malahide""",Dublin,Scotland,bat,A Balbirnie,Ireland,0,4
Ireland,Netherlands,2019,2019/09/18,"""The Village, Malahide""",Dublin,Ireland,bat,BN Cooper,Netherlands,0,6
Netherlands,Scotland,2019,2019/09/19,"""The Village, Malahide""",Dublin,Netherlands,bat,Unknown,Scotland,0,6
India,Sri Lanka,2019/20,2020/01/07,Holkar Cricket Stadium,Indore,India,field,NA Saini,India,0,7
India,Sri Lanka,2019/20,2020/01/10,Maharashtra Cricket Association Stadium,Pune,Sri Lanka,field,SN Thakur,India,78,0
West Indies,Ireland,2019/20,2020/01/15,"""National Cricket Stadium, Grenada""",St George's,Ireland,bat,PR Stirling,Ireland,4,0
West Indies,Ireland,2019/20,2020/01/19,"""Warner Park, St Kitts""",Basseterre,West Indies,field,LMP Simmons,West Indies,0,9
Pakistan,Bangladesh,2019/20,2020/01/24,Gaddafi Stadium,Lahore,Bangladesh,bat,Shoaib Malik,Pakistan,0,5
Pakistan,Bangladesh,2019/20,2020/01/25,Gaddafi Stadium,Lahore,Bangladesh,bat,Babar Azam,Pakistan,0,9
Sri Lanka,West Indies,2019/20,2020/03/04,Pallekele International Cricket Stadium,Kandy,West Indies,bat,O Thomas,West Indies,25,0
Sri Lanka,West Indies,2019/20,2020/03/06,Pallekele International Cricket Stadium,Kandy,West Indies,field,AD Russell,West Indies,0,7
Afghanistan,Ireland,2019/20,2020/03/06,Greater Noida Sports Complex Ground,Greater Noida,Ireland,bat,Rashid Khan,Afghanistan,11,0
Afghanistan,Ireland,2019/20,2020/03/08,Greater Noida Sports Complex Ground,Greater Noida,Afghanistan,bat,Mujeeb Ur Rahman,Afghanistan,21,0
India,Australia,2020/21,2020/12/04,Manuka Oval,Canberra,Australia,field,YS Chahal,India,11,0
Australia,India,2020/21,2020/12/06,Sydney Cricket Ground,Sydney,India,field,HH Pandya,India,0,6
Australia,India,2020/21,2020/12/08,Sydney Cricket Ground,Sydney,India,field,MJ Swepson,Australia,12,0
West Indies,New Zealand,2020/21,2020/11/27,Eden Park,Auckland,New Zealand,field,LH Ferguson,New Zealand,0,5
New Zealand,West Indies,2020/21,2020/11/29,Bay Oval,Mount Maunganui,West Indies,field,GD Phillips,New Zealand,72,0
Pakistan,New Zealand,2020/21,2020/12/18,Eden Park,Auckland,Pakistan,bat,JA Duffy,New Zealand,0,5
Pakistan,New Zealand,2020/21,2020/12/20,Seddon Park,Hamilton,Pakistan,bat,TG Southee,New Zealand,0,9
New Zealand,Pakistan,2020/21,2020/12/22,McLean Park,Napier,Pakistan,field,Mohammad Rizwan,Pakistan,0,4
New Zealand,Australia,2020/21,2021/02/22,Hagley Oval,Christchurch,Australia,field,DP Conway,New Zealand,53,0
New Zealand,Australia,2020/21,2021/02/25,University Oval,Dunedin,Australia,field,MJ Guptill,New Zealand,4,0
Australia,New Zealand,2020/21,2021/03/03,Westpac Stadium,Wellington,New Zealand,field,AC Agar,Australia,64,0
Australia,New Zealand,2020/21,2021/03/05,Westpac Stadium,Wellington,Australia,bat,AJ Finch,Australia,50,0
Australia,New Zealand,2020/21,2021/03/07,Sky Stadium,Wellington,Australia,bat,MJ Guptill,New Zealand,0,7
New Zealand,Bangladesh,2020/21,2021/03/28,Seddon Park,Hamilton,New Zealand,bat,DP Conway,New Zealand,66,0
New Zealand,Bangladesh,2020/21,2021/03/30,McLean Park,Napier,Bangladesh,field,GD Phillips,New Zealand,28,0
New Zealand,Bangladesh,2020/21,2021/04/01,Eden Park,Auckland,Bangladesh,field,FH Allen,New Zealand,65,0
South Africa,England,2020/21,2020/11/27,Newlands,Cape Town,England,field,JM Bairstow,England,0,5
South Africa,England,2020/21,2020/11/29,Boland Park,Paarl,England,field,DJ Malan,England,0,4
South Africa,England,2020/21,2020/12/01,Newlands,Cape Town,South Africa,bat,DJ Malan,England,0,9
Pakistan,England,2021,2021/07/16,"""Trent Bridge, Nottingham""",Nottingham,England,field,Shaheen Shah Afridi,Pakistan,31,0
England,Pakistan,2021,2021/07/18,"""Headingley, Leeds""",Leeds,Pakistan,field,MM Ali,England,45,0
Pakistan,England,2021,2021/07/20,"""Old Trafford, Manchester""",Manchester,Pakistan,bat,JJ Roy,England,0,3
Pakistan,South Africa,2020/21,2021/02/11,Gaddafi Stadium,Lahore,South Africa,field,Mohammad Rizwan,Pakistan,3,0
Pakistan,South Africa,2020/21,2021/02/13,Gaddafi Stadium,Lahore,South Africa,field,D Pretorius,South Africa,0,6
South Africa,Pakistan,2020/21,2021/02/14,Gaddafi Stadium,Lahore,Pakistan,field,Mohammad Nawaz (3),Pakistan,0,4
India,England,2020/21,2021/03/12,Narendra Modi Stadium,Ahmedabad,England,field,JC Archer,England,0,8
England,India,2020/21,2021/03/14,Narendra Modi Stadium,Ahmedabad,India,field,Ishan Kishan,India,0,7
India,England,2020/21,2021/03/16,Narendra Modi Stadium,Ahmedabad,England,field,JC Buttler,England,0,8
India,England,2020/21,2021/03/18,Narendra Modi Stadium,Ahmedabad,England,field,SA Yadav,India,8,0
India,England,2020/21,2021/03/20,Narendra Modi Stadium,Ahmedabad,England,field,B Kumar,India,36,0
Sri Lanka,England,2021,2021/06/23,"""Sophia Gardens, Cardiff""",Cardiff,Sri Lanka,bat,JC Buttler,England,0,8
Sri Lanka,England,2021,2021/06/24,"""Sophia Gardens, Cardiff""",Cardiff,Sri Lanka,bat,LS Livingstone,England,0,5
England,Sri Lanka,2021,2021/06/26,"""The Rose Bowl, Southampton""",Southampton,Sri Lanka,field,DJ Malan,England,89,0
South Africa,Pakistan,2021,2021/04/10,"""The Wanderers Stadium, Johannesburg""",Johannesburg,South Africa,bat,Mohammad Rizwan,Pakistan,0,4
Pakistan,South Africa,2021,2021/04/12,"""The Wanderers Stadium, Johannesburg""",Johannesburg,Pakistan,bat,GF Linde,South Africa,0,6
South Africa,Pakistan,2021,2021/04/14,"""SuperSport Park, Centurion""",Centurion,Pakistan,field,Babar Azam,Pakistan,0,9
South Africa,Pakistan,2021,2021/04/16,"""SuperSport Park, Centurion""",Centurion,Pakistan,field,Faheem Ashraf,Pakistan,0,3
South Africa,Ireland,2021,2021/07/19,"""The Village, Malahide, Dublin""",Dublin,Ireland,field,T Shamsi,South Africa,33,0
South Africa,Ireland,2021,2021/07/22,"""Civil Service Cricket Club, Stormont, Belfast""",Belfast,South Africa,bat,DA Miller,South Africa,42,0
South Africa,Ireland,2021,2021/07/24,"""Civil Service Cricket Club, Stormont, Belfast""",Belfast,South Africa,bat,T Bavuma,South Africa,49,0
Sri Lanka,West Indies,2020/21,2021/03/03,"""Coolidge Cricket Ground, Antigua""",Coolidge,West Indies,field,KA Pollard,West Indies,0,4
Sri Lanka,West Indies,2020/21,2021/03/05,"""Coolidge Cricket Ground, Antigua""",Coolidge,Sri Lanka,bat,PWH de Silva,Sri Lanka,43,0
Sri Lanka,West Indies,2020/21,2021/03/07,"""Coolidge Cricket Ground, Antigua""",Coolidge,Sri Lanka,bat,FA Allen,West Indies,0,3
England,West Indies,2021/22,2022/01/22,"""Kensington Oval, Bridgetown, Barbados""",Bridgetown,West Indies,field,JO Holder,West Indies,0,9
England,West Indies,2021/22,2022/01/23,"""Kensington Oval, Bridgetown, Barbados""",Bridgetown,West Indies,field,MM Ali,England,1,0
West Indies,England,2021/22,2022/01/26,"""Kensington Oval, Bridgetown, Barbados""",Bridgetown,England,field,R Powell,West Indies,20,0
England,West Indies,2021/22,2022/01/29,"""Kensington Oval, Bridgetown, Barbados""",Bridgetown,West Indies,field,MM Ali,England,34,0
West Indies,England,2021/22,2022/01/30,"""Kensington Oval, Bridgetown, Barbados""",Bridgetown,West Indies,bat,JO Holder,West Indies,17,0
Uganda,Namibia,2021,2021/04/03,Wanderers,Windhoek,Uganda,bat,MG Erasmus,Namibia,0,7
Namibia,Uganda,2021,2021/04/05,"""Wanderers Cricket Ground, Windhoek""",Windhoek,Namibia,bat,JJ Smit,Namibia,20,0
Namibia,Uganda,2021,2021/04/05,"""Wanderers Cricket Ground, Windhoek""",Windhoek,Namibia,bat,CG Williams,Namibia,65,0
Netherlands,Nepal,2021,2021/04/17,"""Tribhuvan University International Cricket Ground, Kirtipur""",Kirtipur,Nepal,field,K Bhurtel,Nepal,0,9
Nepal,Netherlands,2021,2021/04/20,"""Tribhuvan University International Cricket Ground, Kirtipur""",Kirtipur,Nepal,bat,BFW de Leede,Netherlands,0,3
Nepal,Netherlands,2021,2021/04/24,"""Tribhuvan University International Cricket Ground, Kirtipur""",Kirtipur,Netherlands,field,Karan KC,Nepal,142,0
India,Sri Lanka,2021,2021/07/25,"""R Premadasa Stadium, Colombo""",Colombo,Sri Lanka,field,B Kumar,India,38,0
India,Sri Lanka,2021,2021/07/28,"""R Premadasa Stadium, Colombo""",Colombo,Sri Lanka,field,DM de Silva,Sri Lanka,0,4
India,Sri Lanka,2021,2021/07/29,"""R Premadasa Stadium, Colombo""",Colombo,India,bat,PWH de Silva,Sri Lanka,0,7
South Africa,West Indies,2021,2021/06/26,"""National Cricket Stadium, St George's, Grenada""",St George's,West Indies,field,E Lewis,West Indies,0,8
South Africa,West Indies,2021,2021/06/27,"""National Cricket Stadium, St George's, Grenada""",St George's,West Indies,field,GF Linde,South Africa,16,0
South Africa,West Indies,2021,2021/06/29,"""National Cricket Stadium, St George's, Grenada""",St George's,West Indies,field,T Shamsi,South Africa,1,0
West Indies,South Africa,2021,2021/07/01,"""National Cricket Stadium, St George's, Grenada""",St George's,South Africa,field,KA Pollard,West Indies,21,0
South Africa,West Indies,2021,2021/07/03,"""National Cricket Stadium, St George's, Grenada""",St George's,South Africa,bat,AK Markram,South Africa,25,0
West Indies,Australia,2021,2021/07/09,"""Daren Sammy National Cricket Stadium, Gros Islet, St Lucia""",Gros Islet,Australia,field,OC McCoy,West Indies,18,0
West Indies,Australia,2021,2021/07/10,"""Daren Sammy National Cricket Stadium, Gros Islet, St Lucia""",Gros Islet,Australia,field,SO Hetmyer,West Indies,56,0
Australia,West Indies,2021,2021/07/12,"""Daren Sammy National Cricket Stadium, Gros Islet, St Lucia""",Gros Islet,Australia,bat,CH Gayle,West Indies,0,6
Australia,West Indies,2021,2021/07/14,"""Daren Sammy National Cricket Stadium, Gros Islet, St Lucia""",Gros Islet,Australia,bat,MR Marsh,Australia,4,0
West Indies,Australia,2021,2021/07/16,"""Daren Sammy National Cricket Stadium, Gros Islet, St Lucia""",Gros Islet,West Indies,bat,E Lewis,West Indies,16,0
Pakistan,West Indies,2021,2021/07/31,"""Providence Stadium, Guyana""",Providence,West Indies,field,Mohammad Hafeez,Pakistan,7,0
Australia,Sri Lanka,2021/22,2022/02/11,Sydney Cricket Ground,Sydney,Sri Lanka,field,A Zampa,Australia,20,0
Sri Lanka,Australia,2021/22,2022/02/15,"""Manuka Oval, Canberra""",Canberra,Australia,field,KW Richardson,Australia,0,6
Sri Lanka,Australia,2021/22,2022/02/18,Melbourne Cricket Ground,Melbourne,Australia,field,GJ Maxwell,Australia,0,6
Australia,Sri Lanka,2021/22,2022/02/20,Melbourne Cricket Ground,Melbourne,Australia,bat,BKG Mendis,Sri Lanka,0,5
Bangladesh,Australia,2021,2021/08/03,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Australia,field,Nasum Ahmed,Bangladesh,23,0
Australia,Bangladesh,2021,2021/08/04,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Australia,bat,Afif Hossain,Bangladesh,0,5
Bangladesh,Australia,2021,2021/08/06,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Bangladesh,bat,Mahmudullah,Bangladesh,10,0
Bangladesh,Australia,2021,2021/08/07,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Bangladesh,bat,MJ Swepson,Australia,0,3
Bangladesh,Australia,2021,2021/08/09,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Bangladesh,bat,Shakib Al Hasan,Bangladesh,60,0
South Africa,Sri Lanka,2021,2021/09/10,"""R Premadasa Stadium, Colombo""",Colombo,South Africa,bat,AK Markram,South Africa,28,0
Sri Lanka,South Africa,2021,2021/09/12,"""R Premadasa Stadium, Colombo""",Colombo,Sri Lanka,bat,T Shamsi,South Africa,0,9
Sri Lanka,South Africa,2021,2021/09/14,"""R Premadasa Stadium, Colombo""",Colombo,Sri Lanka,bat,Q de Kock,South Africa,0,10
New Zealand,Bangladesh,2021,2021/09/01,"""Shere Bangla National Stadium, Mirpur""",Dhaka,New Zealand,bat,Shakib Al Hasan,Bangladesh,0,7
Bangladesh,New Zealand,2021,2021/09/03,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Bangladesh,bat,Mahmudullah,Bangladesh,4,0
New Zealand,Bangladesh,2021,2021/09/05,"""Shere Bangla National Stadium, Mirpur""",Dhaka,New Zealand,bat,AY Patel,New Zealand,52,0
New Zealand,Bangladesh,2021,2021/09/08,"""Shere Bangla National Stadium, Mirpur""",Dhaka,New Zealand,bat,Nasum Ahmed,Bangladesh,0,6
New Zealand,Bangladesh,2021,2021/09/10,"""Shere Bangla National Stadium, Mirpur""",Dhaka,New Zealand,bat,TWM Latham,New Zealand,27,0
Papua New Guinea,Oman,2021/22,2021/10/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Zeeshan Maqsood,Oman,0,10
Scotland,Bangladesh,2021/22,2021/10/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bangladesh,field,CN Greaves,Scotland,6,0
Netherlands,Ireland,2021/22,2021/10/18,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Netherlands,bat,C Campher,Ireland,0,7
Namibia,Sri Lanka,2021/22,2021/10/18,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Sri Lanka,field,M Theekshana,Sri Lanka,0,7
Scotland,Papua New Guinea,2021/22,2021/10/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Scotland,bat,RD Berrington,Scotland,17,0
Bangladesh,Oman,2021/22,2021/10/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bangladesh,bat,Shakib Al Hasan,Bangladesh,26,0
Netherlands,Namibia,2021/22,2021/10/20,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Namibia,field,D Wiese,Namibia,0,6
Sri Lanka,Ireland,2021/22,2021/10/20,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Ireland,field,PWH de Silva,Sri Lanka,70,0
Bangladesh,Papua New Guinea,2021/22,2021/10/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bangladesh,bat,Shakib Al Hasan,Bangladesh,84,0
Oman,Scotland,2021/22,2021/10/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,bat,JH Davey,Scotland,0,8
Ireland,Namibia,2021/22,2021/10/22,Sharjah Cricket Stadium,Sharjah,Ireland,bat,D Wiese,Namibia,0,8
Netherlands,Sri Lanka,2021/22,2021/10/22,Sharjah Cricket Stadium,Sharjah,Sri Lanka,field,CBRLS Kumara,Sri Lanka,0,8
South Africa,Australia,2021/22,2021/10/23,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Australia,field,JR Hazlewood,Australia,0,5
West Indies,England,2021/22,2021/10/23,Dubai International Cricket Stadium,Dubai,England,field,MM Ali,England,0,6
Bangladesh,Sri Lanka,2021/22,2021/10/24,Sharjah Cricket Stadium,Sharjah,Sri Lanka,field,KIC Asalanka,Sri Lanka,0,5
India,Pakistan,2021/22,2021/10/24,Dubai International Cricket Stadium,Dubai,Pakistan,field,Shaheen Shah Afridi,Pakistan,0,10
Afghanistan,Scotland,2021/22,2021/10/25,Sharjah Cricket Stadium,Sharjah,Afghanistan,bat,Mujeeb Ur Rahman,Afghanistan,130,0
West Indies,South Africa,2021/22,2021/10/26,Dubai International Cricket Stadium,Dubai,South Africa,field,A Nortje,South Africa,0,8
New Zealand,Pakistan,2021/22,2021/10/26,Sharjah Cricket Stadium,Sharjah,Pakistan,field,Haris Rauf,Pakistan,0,5
Bangladesh,England,2021/22,2021/10/27,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Bangladesh,bat,JJ Roy,England,0,8
Scotland,Namibia,2021/22,2021/10/27,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Namibia,field,R Trumpelmann,Namibia,0,4
Sri Lanka,Australia,2021/22,2021/10/28,Dubai International Cricket Stadium,Dubai,Australia,field,A Zampa,Australia,0,7
West Indies,Bangladesh,2021/22,2021/10/29,Sharjah Cricket Stadium,Sharjah,Bangladesh,field,N Pooran,West Indies,3,0
Afghanistan,Pakistan,2021/22,2021/10/29,Dubai International Cricket Stadium,Dubai,Afghanistan,bat,Asif Ali,Pakistan,0,5
Sri Lanka,South Africa,2021/22,2021/10/30,Sharjah Cricket Stadium,Sharjah,South Africa,field,T Shamsi,South Africa,0,4
Australia,England,2021/22,2021/10/30,Dubai International Cricket Stadium,Dubai,England,field,CJ Jordan,England,0,8
Afghanistan,Namibia,2021/22,2021/10/31,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Afghanistan,bat,Naveen-ul-Haq,Afghanistan,62,0
India,New Zealand,2021/22,2021/10/31,Dubai International Cricket Stadium,Dubai,New Zealand,field,IS Sodhi,New Zealand,0,8
England,Sri Lanka,2021/22,2021/11/01,Sharjah Cricket Stadium,Sharjah,Sri Lanka,field,JC Buttler,England,26,0
Bangladesh,South Africa,2021/22,2021/11/02,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,South Africa,field,K Rabada,South Africa,0,6
Pakistan,Namibia,2021/22,2021/11/02,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Pakistan,bat,Mohammad Rizwan,Pakistan,45,0
New Zealand,Scotland,2021/22,2021/11/03,Dubai International Cricket Stadium,Dubai,Scotland,field,MJ Guptill,New Zealand,16,0
India,Afghanistan,2021/22,2021/11/03,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Afghanistan,field,RG Sharma,India,66,0
Bangladesh,Australia,2021/22,2021/11/04,Dubai International Cricket Stadium,Dubai,Australia,field,A Zampa,Australia,0,8
Sri Lanka,West Indies,2021/22,2021/11/04,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,West Indies,field,KIC Asalanka,Sri Lanka,20,0
New Zealand,Namibia,2021/22,2021/11/05,Sharjah Cricket Stadium,Sharjah,Namibia,field,JDS Neesham,New Zealand,52,0
Scotland,India,2021/22,2021/11/05,Dubai International Cricket Stadium,Dubai,India,field,RA Jadeja,India,0,8
West Indies,Australia,2021/22,2021/11/06,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Australia,field,DA Warner,Australia,0,8
South Africa,England,2021/22,2021/11/06,Sharjah Cricket Stadium,Sharjah,England,field,HE van der Dussen,South Africa,10,0
Afghanistan,New Zealand,2021/22,2021/11/07,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,Afghanistan,bat,TA Boult,New Zealand,0,8
Pakistan,Scotland,2021/22,2021/11/07,Sharjah Cricket Stadium,Sharjah,Pakistan,bat,Shoaib Malik,Pakistan,72,0
Namibia,India,2021/22,2021/11/08,Dubai International Cricket Stadium,Dubai,India,field,RA Jadeja,India,0,9
England,New Zealand,2021/22,2021/11/10,"""Zayed Cricket Stadium, Abu Dhabi""",Abu Dhabi,New Zealand,field,DJ Mitchell,New Zealand,0,5
Pakistan,Australia,2021/22,2021/11/11,Dubai International Cricket Stadium,Dubai,Australia,field,MS Wade,Australia,0,5
New Zealand,Australia,2021/22,2021/11/14,Dubai International Cricket Stadium,Dubai,Australia,field,MR Marsh,Australia,0,8
India,England,2022,2022/07/07,"""The Rose Bowl, Southampton""",Southampton,India,bat,HH Pandya,India,50,0
India,England,2022,2022/07/09,"""Edgbaston, Birmingham""",Birmingham,England,field,B Kumar,India,49,0
England,India,2022,2022/07/10,"""Trent Bridge, Nottingham""",Nottingham,England,bat,RJW Topley,England,17,0
England,South Africa,2022,2022/07/27,"""County Ground, Bristol""",Bristol,South Africa,field,MM Ali,England,41,0
South Africa,England,2022,2022/07/28,"""Sophia Gardens, Cardiff""",Cardiff,England,field,RR Rossouw,South Africa,58,0
South Africa,England,2022,2022/07/31,"""The Rose Bowl, Southampton""",Southampton,England,field,T Shamsi,South Africa,90,0
Bangladesh,Pakistan,2021/22,2021/11/19,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Bangladesh,bat,Hasan Ali,Pakistan,0,4
Bangladesh,Pakistan,2021/22,2021/11/20,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Bangladesh,bat,Fakhar Zaman,Pakistan,0,8
Bangladesh,Pakistan,2021/22,2021/11/22,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Bangladesh,bat,Haider Ali,Pakistan,0,5
New Zealand,India,2021/22,2021/11/17,"""Sawai Mansingh Stadium, Jaipur""",Jaipur,India,field,SA Yadav,India,0,5
New Zealand,India,2021/22,2021/11/19,"""JSCA International Stadium Complex, Ranchi""",Ranchi,India,field,HV Patel,India,0,7
India,New Zealand,2021/22,2021/11/21,"""Eden Gardens, Kolkata""",Kolkata,India,bat,AR Patel,India,73,0
West Indies,India,2021/22,2022/02/16,"""Eden Gardens, Kolkata""",Kolkata,India,field,Ravi Bishnoi,India,0,6
India,West Indies,2021/22,2022/02/18,"""Eden Gardens, Kolkata""",Kolkata,West Indies,field,RR Pant,India,8,0
India,West Indies,2021/22,2022/02/20,"""Eden Gardens, Kolkata""",Kolkata,West Indies,field,SA Yadav,India,17,0
India,Sri Lanka,2021/22,2022/02/24,"""Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow""",Lucknow,Sri Lanka,field,Ishan Kishan,India,62,0
Sri Lanka,India,2021/22,2022/02/26,"""Himachal Pradesh Cricket Association Stadium, Dharamsala""",Dharamsala,India,field,SS Iyer,India,0,7
Sri Lanka,India,2021/22,2022/02/27,"""Himachal Pradesh Cricket Association Stadium, Dharamsala""",Dharamsala,Sri Lanka,bat,SS Iyer,India,0,6
India,South Africa,2022,2022/06/09,"""Arun Jaitley Stadium, Delhi""",Delhi,South Africa,field,DA Miller,South Africa,0,7
India,South Africa,2022,2022/06/12,"""Barabati Stadium, Cuttack""",Cuttack,South Africa,field,H Klaasen,South Africa,0,4
India,South Africa,2022,2022/06/14,"""Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam""",Visakhapatnam,South Africa,field,YS Chahal,India,48,0
India,South Africa,2022,2022/06/17,"""Saurashtra Cricket Association Stadium, Rajkot""",Rajkot,South Africa,field,KD Karthik,India,82,0
Scotland,Namibia,2021/22,2021/10/09,"""ICC Academy, Dubai""",Dubai,Namibia,field,CG Williams,Namibia,0,5
Namibia,Papua New Guinea,2021/22,2021/10/10,"""ICC Academy, Dubai""",Dubai,Papua New Guinea,field,Unknown,Namibia,14,0
Papua New Guinea,Scotland,2021/22,2021/10/08,"""ICC Academy, Dubai""",Dubai,Papua New Guinea,bat,HG Munsey,Scotland,0,8
Pakistan,West Indies,2021/22,2021/12/13,"""National Stadium, Karachi""",Karachi,West Indies,field,Haider Ali,Pakistan,63,0
Pakistan,West Indies,2021/22,2021/12/14,"""National Stadium, Karachi""",Karachi,Pakistan,bat,Shadab Khan,Pakistan,9,0
West Indies,Pakistan,2021/22,2021/12/16,"""National Stadium, Karachi""",Karachi,West Indies,bat,Mohammad Rizwan,Pakistan,0,7
Pakistan,Australia,2021/22,2022/04/05,"""Gaddafi Stadium, Lahore""",Lahore,Australia,field,AJ Finch,Australia,0,3
Namibia,Sri Lanka,2022/23,2022/10/16,"""GMHBA Stadium, South Geelong, Victoria""",Geelong,Sri Lanka,field,JN Frylinck,Namibia,55,0
Scotland,West Indies,2022/23,2022/10/17,"""Bellerive Oval, Hobart""",Hobart,West Indies,field,HG Munsey,Scotland,42,0
Namibia,Netherlands,2022/23,2022/10/18,"""GMHBA Stadium, South Geelong, Victoria""",Geelong,Namibia,bat,BFW de Leede,Netherlands,0,5
Scotland,Ireland,2022/23,2022/10/19,"""Bellerive Oval, Hobart""",Hobart,Scotland,bat,C Campher,Ireland,0,6
Sri Lanka,Netherlands,2022/23,2022/10/20,"""GMHBA Stadium, South Geelong, Victoria""",Geelong,Sri Lanka,bat,BKG Mendis,Sri Lanka,16,0
West Indies,Ireland,2022/23,2022/10/21,"""Bellerive Oval, Hobart""",Hobart,West Indies,bat,GJ Delany,Ireland,0,9
New Zealand,Australia,2022/23,2022/10/22,Sydney Cricket Ground,Sydney,Australia,field,DP Conway,New Zealand,89,0
Afghanistan,England,2022/23,2022/10/22,Perth Stadium,Perth,England,field,SM Curran,England,0,5
Ireland,Sri Lanka,2022/23,2022/10/23,"""Bellerive Oval, Hobart""",Hobart,Ireland,bat,BKG Mendis,Sri Lanka,0,9
Pakistan,India,2022/23,2022/10/23,Melbourne Cricket Ground,Melbourne,India,field,V Kohli,India,0,4
Bangladesh,Netherlands,2022/23,2022/10/24,"""Bellerive Oval, Hobart""",Hobart,Netherlands,field,Taskin Ahmed,Bangladesh,9,0
Sri Lanka,Australia,2022/23,2022/10/25,Perth Stadium,Perth,Australia,field,MP Stoinis,Australia,0,7
Ireland,England,2022/23,2022/10/26,Melbourne Cricket Ground,Melbourne,England,field,A Balbirnie,Ireland,5,0
South Africa,Bangladesh,2022/23,2022/10/27,Sydney Cricket Ground,Sydney,South Africa,bat,RR Rossouw,South Africa,104,0
India,Netherlands,2022/23,2022/10/27,Sydney Cricket Ground,Sydney,India,bat,SA Yadav,India,56,0
New Zealand,Sri Lanka,2022/23,2022/10/29,Sydney Cricket Ground,Sydney,New Zealand,bat,GD Phillips,New Zealand,65,0
Netherlands,Pakistan,2022/23,2022/10/30,Perth Stadium,Perth,Netherlands,bat,Shadab Khan,Pakistan,0,6
India,South Africa,2022/23,2022/10/30,Perth Stadium,Perth,India,bat,L Ngidi,South Africa,0,5
Australia,Ireland,2022/23,2022/10/31,"""Brisbane Cricket Ground, Woolloongabba, Brisbane""",Brisbane,Ireland,field,AJ Finch,Australia,42,0
Afghanistan,Sri Lanka,2022/23,2022/11/01,"""Brisbane Cricket Ground, Woolloongabba, Brisbane""",Brisbane,Afghanistan,bat,PWH de Silva,Sri Lanka,0,6
England,New Zealand,2022/23,2022/11/01,"""Brisbane Cricket Ground, Woolloongabba, Brisbane""",Brisbane,England,bat,JC Buttler,England,20,0
India,Bangladesh,2022/23,2022/11/02,Adelaide Oval,Adelaide,Bangladesh,field,V Kohli,India,5,0
Pakistan,South Africa,2022/23,2022/11/03,Sydney Cricket Ground,Sydney,Pakistan,bat,Shadab Khan,Pakistan,33,0
New Zealand,Ireland,2022/23,2022/11/04,Adelaide Oval,Adelaide,Ireland,field,KS Williamson,New Zealand,35,0
Australia,Afghanistan,2022/23,2022/11/04,Adelaide Oval,Adelaide,Afghanistan,field,GJ Maxwell,Australia,4,0
Sri Lanka,England,2022/23,2022/11/05,Sydney Cricket Ground,Sydney,Sri Lanka,bat,AU Rashid,England,0,4
Netherlands,South Africa,2022/23,2022/11/06,Adelaide Oval,Adelaide,South Africa,field,CN Ackermann,Netherlands,13,0
Bangladesh,Pakistan,2022/23,2022/11/06,Adelaide Oval,Adelaide,Bangladesh,bat,Shaheen Shah Afridi,Pakistan,0,5
